categoria,produto_referencia,fonte,largura_cm,altura_cm,area_m2,preco_reais,data_consulta,observacao
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,60,60,0.36,147.39,2026-07-29,tamanho minimo (area minima 1.8m2)
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,100,120,1.20,264.91,2026-07-29,
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,100,180,1.80,294.39,2026-07-29,
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,100,200,2.00,281.75,2026-07-29,
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,100,250,2.50,314.57,2026-07-29,
rolo_blackout_liso,Persiana Rolô Blackout - Branca,facil_persianas,100,290,2.90,424.09,2026-07-29,
rolo_blackout_texturizado,Persiana Rolô Blackout Texturizada,facil_persianas,60,60,0.36,200.63,2026-07-29,
rolo_blackout_texturizado,Persiana Rolô Blackout Texturizada,facil_persianas,100,120,1.20,622.00,2026-07-29,
rolo_blackout_texturizado,Persiana Rolô Blackout Texturizada,facil_persianas,100,180,1.80,668.00,2026-07-29,
rolo_blackout_texturizado,Persiana Rolô Blackout Texturizada,facil_persianas,200,120,2.40,866.00,2026-07-29,
rolo_blackout_vedacao_total,Persiana Rolô Blackout com Guias (Kitbox),facil_persianas,60,60,0.36,188.01,2026-07-29,
rolo_blackout_vedacao_total,Persiana Rolô Blackout com Guias (Kitbox),facil_persianas,100,180,1.80,581.90,2026-07-29,
rolo_blackout_vedacao_total,Persiana Rolô Blackout com Guias (Kitbox),facil_persianas,180,220,3.96,1412.71,2026-07-29,
rolo_translucida,Persiana Rolô Opaca (Translúcida),facil_persianas,60,60,0.36,109.68,2026-07-29,
rolo_translucida,Persiana Rolô Opaca (Translúcida),facil_persianas,100,180,1.80,328.55,2026-07-29,
rolo_translucida,Persiana Rolô Opaca (Translúcida),facil_persianas,100,240,2.40,365.63,2026-07-29,
rolo_tela_solar_1,Persiana Rolô Tela Solar 1% - Branca,facil_persianas,60,60,0.36,181.44,2026-07-29,
rolo_tela_solar_1,Persiana Rolô Tela Solar 1% - Branca,facil_persianas,100,180,1.80,415.14,2026-07-29,
rolo_tela_solar_1,Persiana Rolô Tela Solar 1% - Branca,facil_persianas,200,200,4.00,968.87,2026-07-29,
rolo_tela_solar_3,Persiana Rolô Tela Solar 3% - Branca,facil_persianas,60,60,0.36,117.33,2026-07-29,
rolo_tela_solar_3,Persiana Rolô Tela Solar 3% - Branca,facil_persianas,100,180,1.80,384.94,2026-07-29,
rolo_tela_solar_3,Persiana Rolô Tela Solar 3% - Branca,facil_persianas,200,200,4.00,758.69,2026-07-29,
rolo_tela_solar_5,Persiana Rolô Tela Solar 5% - Branca,facil_persianas,60,60,0.36,112.33,2026-07-29,
rolo_tela_solar_5,Persiana Rolô Tela Solar 5% - Branca,facil_persianas,100,180,1.80,310.22,2026-07-29,
rolo_tela_solar_5,Persiana Rolô Tela Solar 5% - Branca,facil_persianas,140,180,2.52,417.09,2026-07-29,
romana_blackout,Persiana Romana Blackout Texturizada,facil_persianas,60,60,0.36,254.68,2026-07-29,
romana_blackout,Persiana Romana Blackout Texturizada,facil_persianas,100,180,1.80,502.20,2026-07-29,
romana_blackout,Persiana Romana Blackout Texturizada,facil_persianas,100,230,2.30,819.67,2026-07-29,
romana_tela_solar_1,Cortina Romana Tela Solar 1%,persianet,,,,337.00,2026-07-29,PRECO BASE SEM TABELA - Facil Persianas nao vende esse item
romana_tela_solar_3,Persiana Romana Tela Solar 3% - Branca,facil_persianas,60,60,0.36,243.48,2026-07-29,
romana_tela_solar_3,Persiana Romana Tela Solar 3% - Branca,facil_persianas,100,180,1.80,803.02,2026-07-29,
romana_tela_solar_3,Persiana Romana Tela Solar 3% - Branca,facil_persianas,200,200,4.00,1027.99,2026-07-29,
romana_tela_solar_5,Persiana Romana Tela Solar 5% - Branca,facil_persianas,60,60,0.36,239.50,2026-07-29,
romana_tela_solar_5,Persiana Romana Tela Solar 5% - Branca,facil_persianas,100,180,1.80,479.35,2026-07-29,
